PCA1,PCA2,PCA3
-27.68408278947525,-0.33796887305245826,-0.687734341061744
-28.684243651285023,-0.9490221573474431,-0.4283488766703829
-136.68467095119084,-2.2850096188956974,-0.05672309275426742
-136.6874605320895,-1.9916055386785454,0.528561356827897
-136.68467095119084,-2.2850096188956974,-0.05672309275425668
-136.68691665005923,-2.045908514263848,0.4739397799908264
-136.68621829732353,-2.2173507580137897,0.4220929134012976
-136.68861430358734,-1.6729763802734299,0.6078574523530625
-136.68467095119084,-2.2850096188956974,-0.05672309275425517
-136.68946155092783,-1.588384411639436,0.6929457309370314
-136.68798628471876,-1.9391126622794201,0.5813622144370636
-136.68502145294366,-2.2500143679629465,-0.02152252101481014
-136.68461051985412,-2.2910432828496194,-0.06279215684726287
-136.68524844125312,-2.1256347030535996,-0.017014354350741796
-136.68670174801713,-2.1690814463824104,0.4706454261453597
-136.6886155122141,-1.672855706994351,0.6079788336349226
-134.68480510085047,-2.065761205460819,-0.14058340895912297
-134.6851060489072,-2.0357135589702837,-0.1103594697759443
-134.68663647426564,-1.9697441239954758,0.3667571984335664
-134.68541280658113,-1.9033694576417606,-0.09784013850910579
-134.68725891703363,-1.9075973852700738,0.4292685585915459
-133.68513970748214,-2.0329495889857627,-0.10465484882473221
-133.69405967669175,-1.2291837257253153,1.114586976677766
-133.68908426850535,-1.4207956770844157,0.5600470775644457
-133.69046710060874,-1.3993286863653598,0.41208232728919036
-133.6884719617843,-1.6853632064623867,0.5351297963126287
-133.68598453756914,-1.9485989669099266,-0.01980933280448386
-133.68986309115505,-1.5464682622430916,0.6748396517336673
-141.69772929465844,1.126824956084223,0.7095769954354821
-133.68541164849725,-2.005798101193112,-0.07734406040619735
-133.69017082393916,-1.3123103991928897,0.6691688499567251
-133.68841273907432,-1.6912761971372312,0.5291821135014811
-133.68616704020596,-1.9303773017690808,-0.0014807592436005853
-133.69113893395303,-1.2156511026510526,0.7663952567267094
-133.69083677726957,-1.245819422420665,0.7360499362616707
-133.68807697435886,-1.8265164571636388,0.5137496314699987
-133.68541164849725,-2.005798101193112,-0.07734406040619735
-133.68928560109276,-1.7058431780851895,0.6351309133301537
-133.68501763618195,-2.0451375901726867,-0.11691435829260763
-133.68765274637522,-1.8688727781201748,0.47114480153708466
-133.68992909859236,-1.3364450550085796,0.6448925935846942
-133.68587431901983,-1.857887146863467,-0.0491665437793987
-133.68850382255116,-1.391916035376843,0.17833597551573524
-133.68650280492145,-1.7951370417426729,0.01395172278788193
-133.68541164849725,-2.005798101193112,-0.07734406040619735
-133.68777360904863,-1.856805450212329,0.4832829297231
